sess_num;sess_date;sess_time;seq_type;sess_type;seq_train;true_sequence;obs_sequence;accuracy;score;cumulative_trial;trial;trial_type;keystroke;key_from;key_to;RT
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;0.33496711576408178;1;2;done;0;0;1 3 4;1332.028
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;0.33496711576408178;1;2;done;1;1 3 4;1;658.602
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;0.33496711576408178;1;2;done;2;1;1 2;667.245
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;0.33496711576408178;1;2;done;3;1 2;1 3;854.496
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;0.33496711576408178;1;2;done;4;1 3;2 3;805.024
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3 4;0.80000000000000004;0;2;2;done;0;0;1 3 4;959.800
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3 4;0.80000000000000004;0;2;2;done;1;1 3 4;1;330.270
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3 4;0.80000000000000004;0;2;2;done;2;1;1 2;386.322
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3 4;0.80000000000000004;0;2;2;done;3;1 2;1 3;390.620
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3 4;0.80000000000000004;0;2;2;done;4;1 3;2 3 4;423.581
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;0.48356339934702819;3;3;done;0;0;1 3 4;773.242
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;0.48356339934702819;3;3;done;1;1 3 4;1;389.377
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;0.48356339934702819;3;3;done;2;1;1 2;487.695
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;0.48356339934702819;3;3;done;3;1 2;1 3;624.125
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;0.48356339934702819;3;3;done;4;1 3;2 3;566.784
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;0.66802334276607256;4;4;done;0;0;1 3 4;826.400
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;0.66802334276607256;4;4;done;1;1 3 4;1;361.914
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;0.66802334276607256;4;4;done;2;1;1 2;361.674
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;0.66802334276607256;4;4;done;3;1 2;1 3;415.464
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;0.66802334276607256;4;4;done;4;1 3;2 3;357.901
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3 4;0.80000000000000004;0;5;4;done;0;0;1 3 4;530.600
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3 4;0.80000000000000004;0;5;4;done;1;1 3 4;1;273.726
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3 4;0.80000000000000004;0;5;4;done;2;1;1 2;299.632
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3 4;0.80000000000000004;0;5;4;done;3;1 2;1 3;308.398
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3 4;0.80000000000000004;0;5;4;done;4;1 3;2 3 4;300.884
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;0.76455721865182513;6;5;done;0;0;1 3 4;617.342
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;0.76455721865182513;6;5;done;1;1 3 4;1;289.060
