sess_num;sess_date;sess_time;seq_type;sess_type;seq_train;sequence;cumulative_trial;trial;keystroke;key_from;key_to;RT
1;2018-02-28;09:33:54.772000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;1;1;0;0;1;1834.704
1;2018-02-28;09:33:54.772000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;1;1;1;1;2;21.390
1;2018-02-28;09:33:54.772000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;1;1;2;2;2;473.290
1;2018-02-28;09:33:54.772000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;1;1;3;2;2;538.833
1;2018-02-28;09:33:54.772000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;1;1;4;2;4;594.519
1;2018-02-28;09:33:54.772000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;2;1;0;0;1 2;1174.642
1;2018-02-28;09:33:54.772000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;2;1;1;1 2;2;537.575
1;2018-02-28;09:33:54.772000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;2;1;2;2;2;540.542
1;2018-02-28;09:33:54.772000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;2;1;3;2;4;508.080
1;2018-02-28;09:33:54.772000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;2;1;4;4;2 3;532.910
1;2018-02-28;09:33:54.772000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;3;2;0;0;1 2;1805.871
1;2018-02-28;09:33:54.772000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;3;2;1;1 2;2;502.151
1;2018-02-28;09:33:54.772000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;3;2;2;2;2;427.178
1;2018-02-28;09:33:54.772000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;3;2;3;2;4;405.704
1;2018-02-28;09:33:54.772000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;3;2;4;4;2 3;353.156
1;2018-02-28;09:33:54.772000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;4;3;0;0;1 2;841.481
1;2018-02-28;09:33:54.772000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;4;3;1;1 2;2;366.396
1;2018-02-28;09:33:54.772000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;4;3;2;2;2;367.592
1;2018-02-28;09:33:54.772000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;4;3;3;2;4;303.818
1;2018-02-28;09:33:54.772000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;4;3;4;4;2 3;389.798
1;2018-02-28;09:33:54.772000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;5;4;0;0;1 2;590.888
1;2018-02-28;09:33:54.772000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;5;4;1;1 2;2;299.307
1;2018-02-28;09:33:54.772000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;5;4;2;2;2;274.911
1;2018-02-28;09:33:54.772000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;5;4;3;2;4;294.220
1;2018-02-28;09:33:54.772000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;5;4;4;4;2 3;291.446
1;2018-02-28;09:33:54.772000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;6;5;0;0;1 2;731.490
1;2018-02-28;09:33:54.772000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;6;5;1;1 2;2;286.680
1;2018-02-28;09:33:54.772000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;6;5;2;2;2;225.143
