sess_num;sess_date;sess_time;seq_type;sess_type;seq_train;sequence;cumulative_trial;trial;keystroke;key_from;key_to;RT
1;2018-03-02;15:58:23.486000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;1;1;0;0;2;2688.709
1;2018-03-02;15:58:23.486000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;1;1;1;2;1;19.143
1;2018-03-02;15:58:23.486000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;1;1;2;1;2;709.908
1;2018-03-02;15:58:23.486000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;1;1;3;2;2;341.912
1;2018-03-02;15:58:23.486000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;2;1;0;0;1 2;474.599
1;2018-03-02;15:58:23.486000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;2;1;1;1 2;2;796.208
1;2018-03-02;15:58:23.486000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;2;1;2;2;2;373.050
1;2018-03-02;15:58:23.486000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;2;1;3;2;4;1476.822
1;2018-03-02;15:58:23.486000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;2;1;4;4;2 3;758.172
1;2018-03-02;15:58:23.486000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;3;2;0;0;1 2;777.923
1;2018-03-02;15:58:23.486000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;3;2;1;1 2;2;760.362
1;2018-03-02;15:58:23.486000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;3;2;2;2;2;299.939
1;2018-03-02;15:58:23.486000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;3;2;3;2;4;678.379
1;2018-03-02;15:58:23.486000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;3;2;4;4;2 3;775.264
1;2018-03-02;15:58:23.486000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;4;3;0;0;1 2;983.358
1;2018-03-02;15:58:23.486000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;4;3;1;1 2;2;943.289
1;2018-03-02;15:58:23.486000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;4;3;2;2;2;297.331
1;2018-03-02;15:58:23.486000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;4;3;3;2;4;814.910
1;2018-03-02;15:58:23.486000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;4;3;4;4;2 3;715.771
1;2018-03-02;15:58:23.486000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;5;4;0;0;1;864.762
1;2018-03-02;15:58:23.486000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;5;4;1;1;2;15.044
1;2018-03-02;15:58:23.486000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;5;4;2;2;2;886.966
1;2018-03-02;15:58:23.486000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;5;4;3;2;2;300.932
1;2018-03-02;15:58:23.486000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;5;4;4;2;2 3;749.107
1;2018-03-02;15:58:23.486000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;6;4;0;0;1 2;670.051
1;2018-03-02;15:58:23.486000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;6;4;1;1 2;2;767.889
1;2018-03-02;15:58:23.486000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;6;4;2;2;2;297.764
1;2018-03-02;15:58:23.486000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;6;4;3;2;3 4;679.428
1;2018-03-02;15:58:23.486000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;6;4;4;3 4;3;1269.670
1;2018-03-02;15:58:23.486000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;7;4;0;0;2;720.663
1;2018-03-02;15:58:23.486000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;7;4;1;2;1;91.110
1;2018-03-02;15:58:23.486000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;7;4;2;1;2;782.093
1;2018-03-02;15:58:23.486000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;7;4;3;2;2;306.970
1;2018-03-02;15:58:23.486000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;7;4;4;2;3;930.525
1;2018-03-02;15:58:23.486000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;8;4;0;0;1 2;774.761
1;2018-03-02;15:58:23.486000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;8;4;1;1 2;2;599.974
1;2018-03-02;15:58:23.486000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;8;4;2;2;2;323.956
1;2018-03-02;15:58:23.486000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;8;4;3;2;4;591.539
1;2018-03-02;15:58:23.486000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;8;4;4;4;2 3;544.117
1;2018-03-02;15:58:23.486000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;9;5;0;0;1 2;581.760
1;2018-03-02;15:58:23.486000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;9;5;1;1 2;2;1114.754
1;2018-03-02;15:58:23.486000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;9;5;2;2;2;274.691
1;2018-03-02;15:58:23.486000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;9;5;3;2;4;1006.564
1;2018-03-02;15:58:23.486000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;9;5;4;4;2 3;492.046
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;1;1;0;0;2;1491.356
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;1;1;1;2;1;1307.882
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;1;1;2;1;4;36.301
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;1;1;3;4;2;601.988
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;1;1;4;2;1;537.854
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;2;1;0;0;2;898.945
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;2;1;1;2;1 4;707.152
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;2;1;2;1 4;2;548.565
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;2;1;3;2;1;506.219
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;2;1;4;1;1 4;500.831
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;3;2;0;0;2;973.740
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;3;2;1;2;1 4;751.109
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;3;2;2;1 4;2;580.705
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;3;2;3;2;1;612.132
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;3;2;4;1;1 4;484.546
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;4;3;0;0;2;940.917
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;4;3;1;2;1 4;800.900
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;4;3;2;1 4;2;452.314
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;4;3;3;2;1;524.189
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;4;3;4;1;1 4;440.601
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;5;4;0;0;2;723.387
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;5;4;1;2;1 4;528.043
1;2018-03-02;15:58:23.486000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;5;4;2;1 4;2;435.179
