sess_num;sess_date;sess_time;seq_type;sess_type;seq_train;cumulative_trial;trial;trial_type;true_sequence;obs_sequence;accuracy;RT;MT;score
1;2018-03-06;11:11:04.964000;type1;training;train;1;2;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;1332.028;2985.368;0.335
1;2018-03-06;11:11:04.964000;type1;training;train;2;2;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3 4;0.80000000000000004;959.800;1530.794;0.000
1;2018-03-06;11:11:04.964000;type1;training;train;3;3;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;773.242;2067.981;0.484
1;2018-03-06;11:11:04.964000;type1;training;train;4;4;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;826.400;1496.954;0.668
1;2018-03-06;11:11:04.964000;type1;training;train;5;4;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3 4;0.80000000000000004;530.600;1182.639;0.000
1;2018-03-06;11:11:04.964000;type1;training;train;6;5;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;617.342;1307.947;0.765
1;2018-03-06;11:11:04.964000;type1;training;train;7;5;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 2 3 - 1 3;0.59999999999999998;462.328;1308.432;0.000
1;2018-03-06;11:11:04.964000;type1;training;train;8;6;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;409.334;1462.790;0.684
1;2018-03-06;11:11:04.964000;type1;training;train;9;6;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 2 - 1 2 - 1 3 - 2 3;0.80000000000000004;523.591;1823.155;0.000
1;2018-03-06;11:11:04.964000;type1;training;train;10;7;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;465.456;1387.446;0.721
1;2018-03-06;11:11:04.964000;type1;training;train;11;8;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;379.215;1221.369;0.819
1;2018-03-06;11:11:04.964000;type1;training;train;12;8;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3 4;0.80000000000000004;330.507;1134.042;0.000
1;2018-03-06;11:11:04.964000;type1;training;train;13;8;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 2 3 - 2 3;0.80000000000000004;474.336;1208.557;0.000
1;2018-03-06;11:11:04.964000;type1;training;train;14;9;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;463.710;1299.563;0.769
1;2018-03-06;11:11:04.964000;type1;training;train;15;9;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 4 - 1 - 1 2 - 1 3 - 2 3;0.80000000000000004;370.235;1964.272;0.000
1;2018-03-06;11:11:04.964000;type1;training;train;16;9;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 - 1 3 - 2 3;0.80000000000000004;333.766;1413.050;0.000
1;2018-03-06;11:11:04.964000;type1;training;train;17;10;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;395.557;1450.632;0.689
1;2018-03-06;11:11:04.964000;type1;training;train;18;11;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;425.154;1300.871;0.769
