sess_num;sess_date;sess_time;seq_type;sess_type;seq_train;cumulative_trial;trial;true_sequence;obs_sequence;accuracy;RT;MT;score
1;2018-02-28;09:33:54.772000;type1;training;train;1;1;1 2 - 2 - 2 - 4 - 2 3;1 - 2 - 2 - 2 - 4;0.40000000000000002;1834.704;1628.033;0.614
1;2018-02-28;09:33:54.772000;type1;training;train;2;2;1 2 - 2 - 2 - 4 - 2 3;1 2 - 2 - 2 - 4 - 2 3;1.0;1174.642;2119.107;0.472
1;2018-02-28;09:33:54.772000;type1;training;train;3;3;1 2 - 2 - 2 - 4 - 2 3;1 2 - 2 - 2 - 4 - 2 3;1.0;1805.871;1688.188;0.592
1;2018-02-28;09:33:54.772000;type1;training;train;4;4;1 2 - 2 - 2 - 4 - 2 3;1 2 - 2 - 2 - 4 - 2 3;1.0;841.481;1427.605;0.700
1;2018-02-28;09:33:54.772000;type1;training;train;5;5;1 2 - 2 - 2 - 4 - 2 3;1 2 - 2 - 2 - 4 - 2 3;1.0;590.888;1159.885;0.862
1;2018-02-28;09:33:54.772000;type1;training;train;6;6;1 2 - 2 - 2 - 4 - 2 3;1 2 - 2 - 2 - 4 - 2 3;1.0;731.490;979.028;1.021
1;2018-02-28;09:33:54.772000;type1;training;train;1;2;2 - 1 4 - 2 - 1 - 1 4;2 - 1 4 - 2 - 1 - 1 4;1.0;903.002;1840.335;0.543
1;2018-02-28;09:33:54.772000;type1;training;train;2;3;2 - 1 4 - 2 - 1 - 1 4;2 - 1 4 - 2 - 1 - 1 4;1.0;1039.577;1283.985;0.779
1;2018-02-28;09:33:54.772000;type1;training;train;3;4;2 - 1 4 - 2 - 1 - 1 4;2 - 1 4 - 2 - 1 - 1 4;1.0;1095.426;1267.710;0.789
1;2018-02-28;09:33:54.772000;type1;training;train;4;5;2 - 1 4 - 2 - 1 - 1 4;2 - 1 4 - 2 - 1 - 1 4;1.0;753.277;1246.359;0.802
1;2018-02-28;09:33:54.772000;type1;training;train;5;6;2 - 1 4 - 2 - 1 - 1 4;2 - 1 4 - 2 - 1 - 1 4;1.0;749.786;1227.385;0.815
1;2018-02-28;09:33:54.772000;type1;training;train;1;2;2 - 4 - 4 - 2 3 - 1 4;2 - 4 - 4 - 2 3 - 1 4;1.0;1753.593;1522.572;0.657
1;2018-02-28;09:33:54.772000;type1;training;train;2;3;2 - 4 - 4 - 2 3 - 1 4;2 - 4 - 4 - 2 3 - 1 4;1.0;754.607;1340.340;0.746
1;2018-02-28;09:33:54.772000;type1;training;train;3;4;2 - 4 - 4 - 2 3 - 1 4;2 - 4 - 4 - 2 3 - 1 4;1.0;769.642;1186.720;0.843
1;2018-02-28;09:33:54.772000;type1;training;train;4;5;2 - 4 - 4 - 2 3 - 1 4;2 - 4 - 4 - 2 3 - 1 4;1.0;790.099;1249.668;0.800
1;2018-02-28;09:33:54.772000;type1;training;train;5;6;2 - 4 - 4 - 2 3 - 1 4;2 - 4 - 4 - 2 3 - 1 4;1.0;917.853;1106.434;0.904
1;2018-02-28;09:33:54.772000;type1;training;train;1;1;3 4 - 1 3 - 3 4 - 2 - 2;4 - 3 - 1 3 - 4 - 3;0.0;1874.660;1992.350;0.502
1;2018-02-28;09:33:54.772000;type1;training;train;2;1;3 4 - 1 3 - 3 4 - 2 - 2;4 - 3 - 1 - 3;0.0;2039.100;1621.368;0.617
1;2018-02-28;09:33:54.772000;type1;training;train;3;2;3 4 - 1 3 - 3 4 - 2 - 2;3 4 - 1 3 - 3 4 - 2 - 2;1.0;987.601;2462.901;0.406
1;2018-02-28;09:33:54.772000;type1;training;train;4;3;3 4 - 1 3 - 3 4 - 2 - 2;3 4 - 1 3 - 3 4 - 2 - 2;1.0;856.441;1827.540;0.547
1;2018-02-28;09:33:54.772000;type1;training;train;5;3;3 4 - 1 3 - 3 4 - 2 - 2;3 4 4 - 1 3 - 3 4 - 2 - 2;0.80000000000000004;736.085;1699.294;0.588
1;2018-02-28;09:33:54.772000;type1;training;train;6;4;3 4 - 1 3 - 3 4 - 2 - 2;3 4 - 1 3 - 3 4 - 2 - 2;1.0;701.891;2008.245;0.498
1;2018-02-28;09:33:54.772000;type1;training;train;7;4;3 4 - 1 3 - 3 4 - 2 - 2;3 4 - 3 - 3 4 - 2 - 2;0.80000000000000004;863.669;1900.974;0.526
1;2018-02-28;09:33:54.772000;type1;training;train;8;5;3 4 - 1 3 - 3 4 - 2 - 2;3 4 - 1 3 - 3 4 - 2 - 2;1.0;670.631;1523.380;0.656
