sess_num;sess_date;sess_time;seq_type;sess_type;seq_train;cumulative_trial;trial;trial_type;true_sequence;obs_sequence;accuracy;RT;MT;score
1;2018-03-04;11:02:32.381000;type1;training;train;1;1;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 1 1 2 3 4 - 1 - 3 - 2 - 3;0.2;-198.31;733.225;1.364
1;2018-03-04;11:02:32.381000;type1;training;train;2;1;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 1 1 2 3 4 - 1 - 3 - 2 - 3;0.2;-198.146;610.115;1.639
1;2018-03-04;11:02:32.381000;type1;training;train;3;1;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;4 - 1 1 - 1 2 - 1 3 - 2 3;0.6;-200.049;4.805;208.102
1;2018-03-04;11:02:32.381000;type1;training;train;4;2;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1;487.752;1852.701;0.54
1;2018-03-04;11:02:32.381000;type1;training;train;5;2;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 4 - 1 - 1 2 - 1 3 - 2 3;0.8;753.148;2504.767;0.399
1;2018-03-04;11:02:32.381000;type1;training;train;6;2;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;4 - 1 - 3;0.2;3266.824;18.857;53.031
1;2018-03-04;11:02:32.381000;type1;training;train;7;2;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;4 - 1 3 - 1 - 1 - 3;0;1904.007;1689.273;0.592
1;2018-03-04;11:02:32.381000;type1;training;train;8;2;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 4 - 3 - 1 - 1 3 - 1 2;0.2;2040.357;1792.687;0.558
1;2018-03-04;11:02:32.381000;type1;training;train;9;2;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 3 - 1 2 - 2 3;0.6;1578.135;2248.074;0.445
1;2018-03-04;11:02:32.381000;type1;training;train;10;2;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 3 - 1 2 - 2 3;0.6;929.204;2189.825;0.457
1;2018-03-04;11:02:32.381000;type1;training;train;11;2;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 4 - 1 - 1 2 - 1 3 - 2 3;0.8;1210.514;2046.043;0.489
1;2018-03-04;11:02:32.381000;type1;training;train;12;2;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 2 3 - 2 3;0.8;984.147;2579.856;0.388
1;2018-03-04;11:02:32.381000;type1;training;train;13;2;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 1 1 2 3 4 - 1 - 3 - 3 - 2;0.2;-198.971;470.733;2.124
1;2018-03-04;11:02:32.381000;type1;training;train;14;2;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 3 - 1 2 - 2 3;0.6;622.153;2172.456;0.46
1;2018-03-04;11:02:32.381000;type1;training;train;15;2;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;4 - 1 3 - 1 - 1 3 - 2;0.2;1327.629;1955.979;0.511
1;2018-03-04;11:02:32.381000;type1;training;train;16;2;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 - 2 - 1 3;0.4;900.934;3065.478;0.326
1;2018-03-04;11:02:32.381000;type1;training;train;17;3;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1;1368.364;2180.531;0.459
1;2018-03-04;11:02:32.381000;type1;training;train;18;4;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1;604.413;2230.323;0.448
1;2018-03-04;11:02:32.381000;type1;training;train;19;4;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 4 - 1 - 1 2 - 1 3 - 2 3;0.8;819.944;1497.18;0.668
1;2018-03-04;11:02:32.381000;type1;training;train;20;5;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1;1097.874;2103.138;0.475
1;2018-03-04;11:02:32.381000;type1;training;train;21;5;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 4 - 1 - 1 3 - 3 - 2;0.2;1337.862;1546.317;0.647
1;2018-03-04;11:02:32.381000;type1;training;train;22;6;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1;718.297;1585.591;0.631
