sess_num;sess_type;n_trials;seq_keys;seq_type;sequence_string;seq_train;seq_color;seq_permutation;seq_order
1;training;20;1 2 3 4;type1;1 - 3 4 - 1 2 4 - 2 3 - 1 3 4;trained;#911eb4;[0, 2, 1];0
1;training;20;1 2 3 4;type1;2 - 1 3 - 2 3 4 - 1 4 - 3;trained;#46f0f0;[0, 2, 1];2
1;training;20;1 2 3 4;type1;3 - 1 4 - 1 2 3 - 3 4 - 2;trained;#3cb44b;[0, 2, 1];1
2;training;20;1 2 3 4;type1;3 - 1 4 - 1 2 3 - 3 4 - 2;trained;#3cb44b;[1, 0, 2];1
2;training;20;1 2 3 4;type1;1 - 3 4 - 1 2 4 - 2 3 - 1 3 4;trained;#911eb4;[1, 0, 2];0
2;training;20;1 2 3 4;type1;2 - 1 3 - 2 3 4 - 1 4 - 3;trained;#46f0f0;[1, 0, 2];2
3;training;20;1 2 3 4;type1;3 - 1 4 - 1 2 3 - 3 4 - 2;trained;#3cb44b;[1, 2, 0];1
3;training;20;1 2 3 4;type1;2 - 1 3 - 2 3 4 - 1 4 - 3;trained;#46f0f0;[1, 2, 0];2
3;training;20;1 2 3 4;type1;1 - 3 4 - 1 2 4 - 2 3 - 1 3 4;trained;#911eb4;[1, 2, 0];0
4;training;20;1 2 3 4;type1;2 - 1 3 - 2 3 4 - 1 4 - 3;trained;#46f0f0;[2, 0, 1];2
4;training;20;1 2 3 4;type1;1 - 3 4 - 1 2 4 - 2 3 - 1 3 4;trained;#911eb4;[2, 0, 1];0
4;training;20;1 2 3 4;type1;3 - 1 4 - 1 2 3 - 3 4 - 2;trained;#3cb44b;[2, 0, 1];1
5;training;20;1 2 3 4;type1;2 - 1 3 - 2 3 4 - 1 4 - 3;trained;#46f0f0;[2, 1, 0];2
5;training;20;1 2 3 4;type1;3 - 1 4 - 1 2 3 - 3 4 - 2;trained;#3cb44b;[2, 1, 0];1
5;training;20;1 2 3 4;type1;1 - 3 4 - 1 2 4 - 2 3 - 1 3 4;trained;#911eb4;[2, 1, 0];0
6;training;20;1 2 3 4;type1;1 - 3 4 - 1 2 4 - 2 3 - 1 3 4;trained;#911eb4;[0, 1, 2];0
6;training;20;1 2 3 4;type1;3 - 1 4 - 1 2 3 - 3 4 - 2;trained;#3cb44b;[0, 1, 2];1
6;training;20;1 2 3 4;type1;2 - 1 3 - 2 3 4 - 1 4 - 3;trained;#46f0f0;[0, 1, 2];2
7;training;20;1 2 3 4;type1;1 - 3 4 - 1 2 4 - 2 3 - 1 3 4;trained;#911eb4;[0, 2, 1];0
7;training;20;1 2 3 4;type1;2 - 1 3 - 2 3 4 - 1 4 - 3;trained;#46f0f0;[0, 2, 1];2
7;training;20;1 2 3 4;type1;3 - 1 4 - 1 2 3 - 3 4 - 2;trained;#3cb44b;[0, 2, 1];1
8;training;20;1 2 3 4;type1;3 - 1 4 - 1 2 3 - 3 4 - 2;trained;#3cb44b;[1, 0, 2];1
8;training;20;1 2 3 4;type1;1 - 3 4 - 1 2 4 - 2 3 - 1 3 4;trained;#911eb4;[1, 0, 2];0
8;training;20;1 2 3 4;type1;2 - 1 3 - 2 3 4 - 1 4 - 3;trained;#46f0f0;[1, 0, 2];2
9;training;20;1 2 3 4;type1;3 - 1 4 - 1 2 3 - 3 4 - 2;trained;#3cb44b;[1, 2, 0];1
