sess_num;sess_type;n_trials;seq_keys;seq_type;sequence_string;seq_train;seq_color;combination;seq_order;paced;instruct;run;block
1;training;20;1 2 3 4;type1;3 4 - 2 - 1 3 - 2 3 4 - 1 4;trained;#e6194b;[0, 1, 2];0;0;1;1;1
1;training;20;1 2 3 4;type1;1 3 - 2 - 3 4 - 1 2 3 - 1 4;trained;#46f0f0;[0, 1, 2];1;0;0;1;1
1;training;20;1 2 3 4;type1;1 4 - 2 3 4 - 1 2 - 4 - 2 3;trained;#ffe119;[0, 1, 2];2;0;0;1;1
1;training;5;1 2 3 4;type1;3 4 - 2 - 1 3 - 2 3 4 - 1 4;trained;#e6194b;[0, 1, 2];0;1;1;1;1
1;training;5;1 2 3 4;type1;1 3 - 2 - 3 4 - 1 2 3 - 1 4;trained;#46f0f0;[0, 1, 2];1;1;0;1;1
1;training;5;1 2 3 4;type1;1 4 - 2 3 4 - 1 2 - 4 - 2 3;trained;#ffe119;[0, 1, 2];2;1;0;1;1
2;training;20;1 2 3 4;type1;3 4 - 2 - 1 3 - 2 3 4 - 1 4;trained;#e6194b;[0, 2, 1];0;0;1;1;1
2;training;20;1 2 3 4;type1;1 4 - 2 3 4 - 1 2 - 4 - 2 3;trained;#ffe119;[0, 2, 1];2;0;0;1;1
2;training;20;1 2 3 4;type1;1 3 - 2 - 3 4 - 1 2 3 - 1 4;trained;#46f0f0;[0, 2, 1];1;0;0;1;1
2;training;5;1 2 3 4;type1;3 4 - 2 - 1 3 - 2 3 4 - 1 4;trained;#e6194b;[0, 2, 1];0;1;1;1;1
2;training;5;1 2 3 4;type1;1 4 - 2 3 4 - 1 2 - 4 - 2 3;trained;#ffe119;[0, 2, 1];2;1;0;1;1
2;training;5;1 2 3 4;type1;1 3 - 2 - 3 4 - 1 2 3 - 1 4;trained;#46f0f0;[0, 2, 1];1;1;0;1;1
3;training;20;1 2 3 4;type1;1 3 - 2 - 3 4 - 1 2 3 - 1 4;trained;#46f0f0;[1, 0, 2];1;0;1;1;1
3;training;20;1 2 3 4;type1;3 4 - 2 - 1 3 - 2 3 4 - 1 4;trained;#e6194b;[1, 0, 2];0;0;0;1;1
3;training;20;1 2 3 4;type1;1 4 - 2 3 4 - 1 2 - 4 - 2 3;trained;#ffe119;[1, 0, 2];2;0;0;1;1
3;training;5;1 2 3 4;type1;1 3 - 2 - 3 4 - 1 2 3 - 1 4;trained;#46f0f0;[1, 0, 2];1;1;1;1;1
3;training;5;1 2 3 4;type1;3 4 - 2 - 1 3 - 2 3 4 - 1 4;trained;#e6194b;[1, 0, 2];0;1;0;1;1
3;training;5;1 2 3 4;type1;1 4 - 2 3 4 - 1 2 - 4 - 2 3;trained;#ffe119;[1, 0, 2];2;1;0;1;1
4;training;20;1 2 3 4;type1;1 3 - 2 - 3 4 - 1 2 3 - 1 4;trained;#46f0f0;[1, 2, 0];1;0;1;1;1
4;training;20;1 2 3 4;type1;1 4 - 2 3 4 - 1 2 - 4 - 2 3;trained;#ffe119;[1, 2, 0];2;0;0;1;1
4;training;20;1 2 3 4;type1;3 4 - 2 - 1 3 - 2 3 4 - 1 4;trained;#e6194b;[1, 2, 0];0;0;0;1;1
4;training;5;1 2 3 4;type1;1 3 - 2 - 3 4 - 1 2 3 - 1 4;trained;#46f0f0;[1, 2, 0];1;1;1;1;1
4;training;5;1 2 3 4;type1;1 4 - 2 3 4 - 1 2 - 4 - 2 3;trained;#ffe119;[1, 2, 0];2;1;0;1;1
4;training;5;1 2 3 4;type1;3 4 - 2 - 1 3 - 2 3 4 - 1 4;trained;#e6194b;[1, 2, 0];0;1;0;1;1
5;training;20;1 2 3 4;type1;1 4 - 2 3 4 - 1 2 - 4 - 2 3;trained;#ffe119;[2, 0, 1];2;0;1;1;1
5;training;20;1 2 3 4;type1;3 4 - 2 - 1 3 - 2 3 4 - 1 4;trained;#e6194b;[2, 0, 1];0;0;0;1;1
