sess_num;sess_type;n_trials;seq_keys;seq_type;sequence_string;seq_train;seq_color;combination;seq_order;paced;instruct;run;block
1;training;4;1 2 3 4;type1;2 3 4 - 2 3 - 1 2 3 - 1 2;trained;#911eb4;[0, 1];0;0;1;1;1
1;training;4;1 2 3 4;type1;2 - 2 3 - 1 2 3 - 1 2 3 4;trained;#46f0f0;[0, 1];1;0;0;1;1
1;training;4;1 2 3 4;type1;2 3 4 - 2 3 - 1 2 3 - 1 2;trained;#911eb4;[0, 1];0;1;1;1;1
1;training;4;1 2 3 4;type1;2 - 2 3 - 1 2 3 - 1 2 3 4;trained;#46f0f0;[0, 1];1;1;0;1;1
2;training;4;1 2 3 4;type1;2 3 4 - 2 3 - 1 2 3 - 1 2;trained;#911eb4;[0, 1];0;0;1;1;1
2;training;4;1 2 3 4;type1;2 - 2 3 - 1 2 3 - 1 2 3 4;trained;#46f0f0;[0, 1];1;0;0;1;1
2;training;4;1 2 3 4;type1;2 3 4 - 2 3 - 1 2 3 - 1 2;trained;#911eb4;[0, 1];0;1;1;1;1
2;training;4;1 2 3 4;type1;2 - 2 3 - 1 2 3 - 1 2 3 4;trained;#46f0f0;[0, 1];1;1;0;1;1
3;training;4;1 2 3 4;type1;2 3 4 - 2 3 - 1 2 3 - 1 2;trained;#911eb4;[0, 1];0;0;1;1;1
3;training;4;1 2 3 4;type1;2 - 2 3 - 1 2 3 - 1 2 3 4;trained;#46f0f0;[0, 1];1;0;0;1;1
3;training;4;1 2 3 4;type1;2 3 4 - 2 3 - 1 2 3 - 1 2;trained;#911eb4;[0, 1];0;1;1;1;1
3;training;4;1 2 3 4;type1;2 - 2 3 - 1 2 3 - 1 2 3 4;trained;#46f0f0;[0, 1];1;1;0;1;1
