SUBJECT;SCHEDULE_FILE;SCHEDULE_GROUP
kip1s001;kip1schedule1_0;0
kip1s002;kip1schedule1_1;1
kip1s003;kip1schedule2_0;0
kip1s004;kip1schedule2_1;1
kip1s005;kip1schedule1_0;0
kip1s006;kip1schedule1_1;1
kip1s007;kip1schedule2_0;0
kip1s008;kip1schedule2_1;1
kip1s009;kip1schedule1_0;0
kip1s010;kip1schedule1_1;1
kip1s011;kip1schedule2_0;0
kip1s012;kip1schedule2_1;1
kip1s013;kip1schedule1_0;0
kip1s014;kip1schedule1_1;1
kip1s015;kip1schedule2_0;0
kip1s016;kip1schedule2_1;1
kip1s017;kip1schedule1_0;0
kip1s018;kip1schedule1_1;1
kip1s019;kip1schedule2_0;0
kip1s020;kip1schedule2_1;1
