SUBJECT;SCHEDULE_FILE;FMRI_SCHEDULE_FILE;CONFIGURATION;SCHEDULE_GROUP
lue2101;lue1schedule_g1_c2_s0;lue1schedule_g1_c2_s0_fmri;2;0
lue2102;lue1schedule_g1_c1_s1;lue1schedule_g1_c1_s1_fmri;1;1
lue2103;lue1schedule_g1_c2_s2;lue1schedule_g1_c2_s2_fmri;2;2
lue2104;lue1schedule_g1_c1_s3;lue1schedule_g1_c1_s3_fmri;1;3
lue2105;lue1schedule_g1_c2_s4;lue1schedule_g1_c2_s4_fmri;2;4
lue2106;lue1schedule_g1_c1_s5;lue1schedule_g1_c1_s5_fmri;1;5
lue2107;lue1schedule_g1_c2_s6;lue1schedule_g1_c2_s6_fmri;2;6
lue2108;lue1schedule_g1_c1_s7;lue1schedule_g1_c1_s7_fmri;1;7
lue2109;lue1schedule_g1_c2_s8;lue1schedule_g1_c2_s8_fmri;2;8
lue2110;lue1schedule_g1_c1_s9;lue1schedule_g1_c1_s9_fmri;1;9
lue2111;lue1schedule_g1_c2_s0;lue1schedule_g1_c2_s0_fmri;2;0
lue2112;lue1schedule_g1_c1_s1;lue1schedule_g1_c1_s1_fmri;1;1
lue2113;lue1schedule_g1_c2_s2;lue1schedule_g1_c2_s2_fmri;2;2
lue2114;lue1schedule_g1_c1_s3;lue1schedule_g1_c1_s3_fmri;1;3
lue2115;lue1schedule_g1_c2_s4;lue1schedule_g1_c2_s4_fmri;2;4
lue2116;lue1schedule_g1_c1_s5;lue1schedule_g1_c1_s5_fmri;1;5
lue2117;lue1schedule_g1_c2_s6;lue1schedule_g1_c2_s6_fmri;2;6
lue2118;lue1schedule_g1_c1_s7;lue1schedule_g1_c1_s7_fmri;1;7
lue2119;lue1schedule_g1_c2_s8;lue1schedule_g1_c2_s8_fmri;2;8
lue2120;lue1schedule_g1_c1_s9;lue1schedule_g1_c1_s9_fmri;1;9
lue2201;lue1schedule_g2_c2_s0;lue1schedule_g2_c2_s0_fmri;2;0
lue2202;lue1schedule_g2_c1_s1;lue1schedule_g2_c1_s1_fmri;1;1
lue2203;lue1schedule_g2_c2_s2;lue1schedule_g2_c2_s2_fmri;2;2
lue2204;lue1schedule_g2_c1_s3;lue1schedule_g2_c1_s3_fmri;1;3
lue2205;lue1schedule_g2_c2_s4;lue1schedule_g2_c2_s4_fmri;2;4
lue2206;lue1schedule_g2_c1_s5;lue1schedule_g2_c1_s5_fmri;1;5
lue2207;lue1schedule_g2_c2_s6;lue1schedule_g2_c2_s6_fmri;2;6
lue2208;lue1schedule_g2_c1_s7;lue1schedule_g2_c1_s7_fmri;1;7
lue2209;lue1schedule_g2_c2_s8;lue1schedule_g2_c2_s8_fmri;2;8
lue2210;lue1schedule_g2_c1_s9;lue1schedule_g2_c1_s9_fmri;1;9
lue2211;lue1schedule_g2_c2_s0;lue1schedule_g2_c2_s0_fmri;2;0
lue2212;lue1schedule_g2_c1_s1;lue1schedule_g2_c1_s1_fmri;1;1
lue2213;lue1schedule_g2_c2_s2;lue1schedule_g2_c2_s2_fmri;2;2
lue2214;lue1schedule_g2_c1_s3;lue1schedule_g2_c1_s3_fmri;1;3
lue2215;lue1schedule_g2_c2_s4;lue1schedule_g2_c2_s4_fmri;2;4
lue2216;lue1schedule_g2_c1_s5;lue1schedule_g2_c1_s5_fmri;1;5
lue2217;lue1schedule_g2_c2_s6;lue1schedule_g2_c2_s6_fmri;2;6
lue2218;lue1schedule_g2_c1_s7;lue1schedule_g2_c1_s7_fmri;1;7
lue2219;lue1schedule_g2_c2_s8;lue1schedule_g2_c2_s8_fmri;2;8
lue2220;lue1schedule_g2_c1_s9;lue1schedule_g2_c1_s9_fmri;1;9
luetest1;lue1schedule_g1_c2_s0;lue1schedule_g1_c2_s0_fmri;2;0
luetest2;lue1schedule_g1_c1_s1;lue1schedule_g1_c1_s1_fmri;1;1
luetest3;lue1schedule_g2_c2_s2;lue1schedule_g2_c2_s2_fmri;2;2
luetest4;lue1schedule_g2_c1_s3;lue1schedule_g2_c1_s3_fmri;1;3
